1436	492
1403	509
1369	525
1337	542
1304	559
1269	575
1236	591

1270	608
1303	626
1337	641
1368	657
1403	674
1436	690
1468	708
1502	725
1534	742
1566	757
1599	774
1632	790
1666	806

1701	790
1731	773
1764	755
1797	738
1832	722

1798	706
1765	690
1730	674
1698	657
1666	641
1631	624

1666	607
1698	591
1732	574
1765	558
1797	541

1830	557
1864	574
1898	571
1929	606
1963	624
1996	640

2029	625
2061	607
2095	590

2128	606
2161	623
2194	639
2227	655
2260	672
2293	688
2326	705
2360	722
2391	741
2424	755

2392	772
2358	789
2326	805

2358	821
2393	839
2426	855
2460	872
2491	887
2524	905

2491	921
2458	938
2424	954
2391	970
2360	987

2327	971
2293	954
2260	939
2226	922
2193	905
2160	889

2127	905
2094	921
2062	938
2029	954
1997	970

2030	987
2063	1003
2096	1020
2129	1037
2162	1053
2195	1070

2162	1086
2129	1103
2096	1119
2063	1136
2030	1152
1997	1169
1964	1185
1931	1201
1898	1218
1865	1234
1831	1251
1798	1267
1765	1284
1732	1300
1699	1316
1666	1333
1633	1349
1600	1366
1534	1399
1501	1415

1468	1399
1435	1382
1401	1366
1368	1349

1402	1333
1435	1316
1501	1283
1534	1267
1568	1250
1601	1234

1568	1218
1535	1201
1501	1185
1468	1168

1500	1151
1532	1136
1567	1118
1600	1102
1631	1008
1667	1069
1698	1054
1703	1036
1762	1020

1735	1003
1700	987
1667	970
1635	953
1602	937
1566	921

1533	937
1500	954
1467	970
1434	987
1401	1004
1368	1019
1335	1037
1302	1053
1272	1069
1237	1086
1204	1103
1171	1122
1138	1136
1107	1151
1072	1171
1037	1189

1001	1167
974	1152
941	1135
907	1119
875	1102
843	1086
807	1070
841	1054
873	1037
908	1021
941	1004
975	986

940	969
907	954
874	936
842	921

874	904
907	887
939	871
970	855
1005	838

1038	854
1073	871
1106	887
1138	905

1169	889
1203	871
1237	855
1269	837
1300	822
1377	805

1306	790
1271	772
1237	757
1204	739
1172	724
1139	706
1105	690
1074	674
1041	659
1007	640
975	624
940	606
908	590

875	607
841	623
809	642
775	657
745	673
720	688

749	709
779	722
807	736
842	753

807	772
773	789
741	806
712	820
678	839
642	822
611	805
578	789
544	772

510	788
477	805
444	823
411	839
379	855



























